idTarea,idProyecto,nombreProyecto,idJefe,nombreTarea,prioridad
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
560,155,Project 3902,86,Tarea para el Proyecto 3902 asignada al usuario 9,Baja
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
692,192,Project 2980,24,Tarea para el Proyecto 2980 asignada al usuario 12,Alta
579,161,Project 6484,86,Tarea para el Proyecto 6484 asignada al usuario 27,Alta
579,161,Project 6484,86,Tarea para el Proyecto 6484 asignada al usuario 27,Alta
