id,empleado_id,task_id,fecha_asignacion,fecha_entrega_maxima,fecha_entrega,calidad,iniciativa,comunicacion,satisfaccion_cliente,calificacion_promedio,estado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
1,54,560,2021-12-27T00:00:00.000Z,2024-04-27T00:00:00.000Z,NULL,3,6,1,1,2.75,Asignado
2,24,692,2022-12-05T00:00:00.000Z,2023-12-26T00:00:00.000Z,2023-06-03 00:00:00,3,6,5,4,4.5,Entregado
