id,empleado_id,task_id,fecha_asignacion,fecha_entrega_maxima,fecha_entrega,calidad,iniciativa,comunicacion,satisfaccion_cliente,calificacion_promedio,estado,idTarea,idProyecto,nombreProyecto,idJefe,nombreTarea,prioridad,project_id,project_name,boss_id,boss_name,status,team_members
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,170,"Project 5800",86,"Alyssa Lee",Completed,"[1, 82, 41, 22]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,169,"Project 2501",86,"Alyssa Lee",Created,"[1, 82, 41, 22]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,168,"Project 2810",86,"Alyssa Lee",Created,"[1, 82, 41, 22]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,167,"Project 4462",86,"Alyssa Lee",Completed,"[47, 28, 17, 35]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,166,"Project 6421",86,"Alyssa Lee","In Progress","[47, 28, 17, 35]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,165,"Project 4425",86,"Alyssa Lee",Completed,"[49, 54, 1, 12]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,164,"Project 7552",86,"Alyssa Lee",Completed,"[49, 54, 1, 12]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,163,"Project 5555",86,"Alyssa Lee",Completed,"[49, 54, 1, 12]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,162,"Project 9194",86,"Alyssa Lee",Completed,"[49, 54, 1, 12]"
1,54,560,"2021-12-27 00:00:00","2024-04-27 00:00:00",NULL,3,6,1,1,2.75,Asignado,560,155,"Project 3902",86,"Tarea para el Proyecto 3902 asignada al usuario 9",Baja,161,"Project 6484",86,"Alyssa Lee",Completed,"[27, 51, 95, 26]"
